province,organism,antibiotic,specimen,sector,year,n_tested,percent_resistant
Eastern Cape,E. coli,Amoxicillin-clavulanate,Blood,Public,2022,296,24.1
Eastern Cape,E. coli,Amoxicillin-clavulanate,Blood,Public,2023,387,25.5
Eastern Cape,E. coli,Amoxicillin-clavulanate,Blood,Public,2024,172,27.4
Eastern Cape,E. coli,Amoxicillin-clavulanate,Respiratory,Public,2022,315,26.0
Eastern Cape,E. coli,Amoxicillin-clavulanate,Respiratory,Public,2023,389,27.5
Eastern Cape,E. coli,Amoxicillin-clavulanate,Respiratory,Public,2024,195,28.7
Eastern Cape,E. coli,Amoxicillin-clavulanate,Urine,Public,2022,88,26.4
Eastern Cape,E. coli,Amoxicillin-clavulanate,Urine,Public,2023,76,26.0
Eastern Cape,E. coli,Amoxicillin-clavulanate,Urine,Public,2024,265,28.8
Eastern Cape,E. coli,Amoxicillin-clavulanate,Wound,Public,2022,168,25.6
Eastern Cape,E. coli,Amoxicillin-clavulanate,Wound,Public,2023,350,28.6
Eastern Cape,E. coli,Amoxicillin-clavulanate,Wound,Public,2024,221,29.5
Eastern Cape,E. coli,Ceftriaxone,Blood,Public,2022,141,21.6
Eastern Cape,E. coli,Ceftriaxone,Blood,Public,2023,234,22.4
Eastern Cape,E. coli,Ceftriaxone,Blood,Public,2024,170,22.2
Eastern Cape,E. coli,Ceftriaxone,Respiratory,Public,2023,376,24.8
Eastern Cape,E. coli,Ceftriaxone,Respiratory,Public,2024,245,26.0
Eastern Cape,E. coli,Ceftriaxone,Urine,Public,2022,232,23.2
Eastern Cape,E. coli,Ceftriaxone,Urine,Public,2023,254,21.6
Eastern Cape,E. coli,Ceftriaxone,Urine,Public,2024,236,22.6
Eastern Cape,E. coli,Ceftriaxone,Wound,Public,2022,82,22.6
Eastern Cape,E. coli,Ceftriaxone,Wound,Public,2023,334,24.0
Eastern Cape,E. coli,Ceftriaxone,Wound,Public,2024,253,23.2
Eastern Cape,E. coli,Ciprofloxacin,Blood,Public,2022,200,24.4
Eastern Cape,E. coli,Ciprofloxacin,Blood,Public,2023,131,26.1
Eastern Cape,E. coli,Ciprofloxacin,Blood,Public,2024,406,28.5
Eastern Cape,E. coli,Ciprofloxacin,Respiratory,Public,2022,274,28.4
Eastern Cape,E. coli,Ciprofloxacin,Respiratory,Public,2023,361,28.0
Eastern Cape,E. coli,Ciprofloxacin,Respiratory,Public,2024,63,29.2
Eastern Cape,E. coli,Ciprofloxacin,Urine,Public,2022,339,27.6
Eastern Cape,E. coli,Ciprofloxacin,Urine,Public,2023,276,26.6
Eastern Cape,E. coli,Ciprofloxacin,Urine,Public,2024,107,27.4
Eastern Cape,E. coli,Ciprofloxacin,Wound,Public,2022,318,26.5
Eastern Cape,E. coli,Ciprofloxacin,Wound,Public,2023,347,28.6
Eastern Cape,E. coli,Ciprofloxacin,Wound,Public,2024,392,28.4
Eastern Cape,E. coli,Meropenem,Blood,Public,2022,441,11.8
Eastern Cape,E. coli,Meropenem,Blood,Public,2023,194,14.0
Eastern Cape,E. coli,Meropenem,Blood,Public,2024,279,15.6
Eastern Cape,E. coli,Meropenem,Respiratory,Public,2022,257,15.1
Eastern Cape,E. coli,Meropenem,Respiratory,Public,2023,299,15.5
Eastern Cape,E. coli,Meropenem,Respiratory,Public,2024,343,16.9
Eastern Cape,E. coli,Meropenem,Urine,Public,2022,264,15.0
Eastern Cape,E. coli,Meropenem,Urine,Public,2023,130,14.4
Eastern Cape,E. coli,Meropenem,Urine,Public,2024,106,15.9
Eastern Cape,E. coli,Meropenem,Wound,Public,2022,116,15.1
Eastern Cape,E. coli,Meropenem,Wound,Public,2023,141,14.3
Eastern Cape,E. coli,Meropenem,Wound,Public,2024,276,17.2
Eastern Cape,E. coli,Piperacillin-tazobactam,Blood,Public,2022,420,22.1
Eastern Cape,E. coli,Piperacillin-tazobactam,Blood,Public,2023,398,21.5
Eastern Cape,E. coli,Piperacillin-tazobactam,Blood,Public,2024,208,23.0
Eastern Cape,E. coli,Piperacillin-tazobactam,Respiratory,Public,2022,391,25.1
Eastern Cape,E. coli,Piperacillin-tazobactam,Respiratory,Public,2024,433,24.8
Eastern Cape,E. coli,Piperacillin-tazobactam,Urine,Public,2022,179,24.3
Eastern Cape,E. coli,Piperacillin-tazobactam,Urine,Public,2023,254,24.9
Eastern Cape,E. coli,Piperacillin-tazobactam,Urine,Public,2024,385,24.2
Eastern Cape,E. coli,Piperacillin-tazobactam,Wound,Public,2022,143,24.3
Eastern Cape,E. coli,Piperacillin-tazobactam,Wound,Public,2023,167,23.9
Eastern Cape,E. coli,Piperacillin-tazobactam,Wound,Public,2024,419,25.8
Eastern Cape,Klebsiella pneumoniae,Amoxicillin-clavulanate,Blood,Public,2022,172,32.0
Eastern Cape,Klebsiella pneumoniae,Amoxicillin-clavulanate,Blood,Public,2023,422,32.4
Eastern Cape,Klebsiella pneumoniae,Amoxicillin-clavulanate,Blood,Public,2024,177,35.2
Eastern Cape,Klebsiella pneumoniae,Amoxicillin-clavulanate,Respiratory,Public,2022,184,35.1
Eastern Cape,Klebsiella pneumoniae,Amoxicillin-clavulanate,Respiratory,Public,2023,268,36.7
Eastern Cape,Klebsiella pneumoniae,Amoxicillin-clavulanate,Respiratory,Public,2024,109,35.9
Eastern Cape,Klebsiella pneumoniae,Amoxicillin-clavulanate,Urine,Public,2022,76,32.5
Eastern Cape,Klebsiella pneumoniae,Amoxicillin-clavulanate,Urine,Public,2023,96,35.9
Eastern Cape,Klebsiella pneumoniae,Amoxicillin-clavulanate,Urine,Public,2024,202,35.9
Eastern Cape,Klebsiella pneumoniae,Amoxicillin-clavulanate,Wound,Public,2022,169,34.8
Eastern Cape,Klebsiella pneumoniae,Amoxicillin-clavulanate,Wound,Public,2023,430,35.5
Eastern Cape,Klebsiella pneumoniae,Amoxicillin-clavulanate,Wound,Public,2024,352,37.6
Eastern Cape,Klebsiella pneumoniae,Ceftriaxone,Blood,Public,2022,138,29.2
Eastern Cape,Klebsiella pneumoniae,Ceftriaxone,Blood,Public,2023,142,29.5
Eastern Cape,Klebsiella pneumoniae,Ceftriaxone,Blood,Public,2024,331,31.0
Eastern Cape,Klebsiella pneumoniae,Ceftriaxone,Respiratory,Public,2022,308,29.6
Eastern Cape,Klebsiella pneumoniae,Ceftriaxone,Respiratory,Public,2023,449,32.8
Eastern Cape,Klebsiella pneumoniae,Ceftriaxone,Respiratory,Public,2024,124,32.9
Eastern Cape,Klebsiella pneumoniae,Ceftriaxone,Urine,Public,2022,366,31.1
Eastern Cape,Klebsiella pneumoniae,Ceftriaxone,Urine,Public,2023,69,30.3
Eastern Cape,Klebsiella pneumoniae,Ceftriaxone,Urine,Public,2024,245,30.7
Eastern Cape,Klebsiella pneumoniae,Ceftriaxone,Wound,Public,2022,217,31.5
Eastern Cape,Klebsiella pneumoniae,Ceftriaxone,Wound,Public,2023,183,30.6
Eastern Cape,Klebsiella pneumoniae,Ceftriaxone,Wound,Public,2024,100,33.5
Eastern Cape,Klebsiella pneumoniae,Ciprofloxacin,Blood,Public,2022,65,34.9
Eastern Cape,Klebsiella pneumoniae,Ciprofloxacin,Blood,Public,2023,118,35.4
Eastern Cape,Klebsiella pneumoniae,Ciprofloxacin,Blood,Public,2024,334,36.4
Eastern Cape,Klebsiella pneumoniae,Ciprofloxacin,Respiratory,Public,2022,114,34.9
Eastern Cape,Klebsiella pneumoniae,Ciprofloxacin,Respiratory,Public,2023,212,37.9
Eastern Cape,Klebsiella pneumoniae,Ciprofloxacin,Respiratory,Public,2024,319,38.9
Eastern Cape,Klebsiella pneumoniae,Ciprofloxacin,Urine,Public,2022,388,35.6
Eastern Cape,Klebsiella pneumoniae,Ciprofloxacin,Urine,Public,2024,292,36.6
Eastern Cape,Klebsiella pneumoniae,Ciprofloxacin,Wound,Public,2022,429,33.8
Eastern Cape,Klebsiella pneumoniae,Ciprofloxacin,Wound,Public,2023,194,37.5
Eastern Cape,Klebsiella pneumoniae,Ciprofloxacin,Wound,Public,2024,450,38.8
Eastern Cape,Klebsiella pneumoniae,Meropenem,Blood,Public,2022,241,21.3
Eastern Cape,Klebsiella pneumoniae,Meropenem,Blood,Public,2023,299,21.6
Eastern Cape,Klebsiella pneumoniae,Meropenem,Blood,Public,2024,87,23.9
Eastern Cape,Klebsiella pneumoniae,Meropenem,Respiratory,Public,2022,98,22.7
Eastern Cape,Klebsiella pneumoniae,Meropenem,Respiratory,Public,2023,341,23.7
Eastern Cape,Klebsiella pneumoniae,Meropenem,Respiratory,Public,2024,393,23.6
Eastern Cape,Klebsiella pneumoniae,Meropenem,Urine,Public,2022,390,22.4
Eastern Cape,Klebsiella pneumoniae,Meropenem,Urine,Public,2023,266,21.6
Eastern Cape,Klebsiella pneumoniae,Meropenem,Urine,Public,2024,115,24.5
Eastern Cape,Klebsiella pneumoniae,Meropenem,Wound,Public,2022,157,21.6
Eastern Cape,Klebsiella pneumoniae,Meropenem,Wound,Public,2023,131,23.4
Eastern Cape,Klebsiella pneumoniae,Meropenem,Wound,Public,2024,202,24.1
Eastern Cape,Klebsiella pneumoniae,Piperacillin-tazobactam,Blood,Public,2022,303,28.7
Eastern Cape,Klebsiella pneumoniae,Piperacillin-tazobactam,Blood,Public,2023,144,32.2
Eastern Cape,Klebsiella pneumoniae,Piperacillin-tazobactam,Blood,Public,2024,370,31.1
Eastern Cape,Klebsiella pneumoniae,Piperacillin-tazobactam,Respiratory,Public,2022,186,31.7
Eastern Cape,Klebsiella pneumoniae,Piperacillin-tazobactam,Respiratory,Public,2023,233,32.0
Eastern Cape,Klebsiella pneumoniae,Piperacillin-tazobactam,Urine,Public,2022,168,30.6
Eastern Cape,Klebsiella pneumoniae,Piperacillin-tazobactam,Urine,Public,2023,446,33.1
Eastern Cape,Klebsiella pneumoniae,Piperacillin-tazobactam,Urine,Public,2024,162,33.5
Eastern Cape,Klebsiella pneumoniae,Piperacillin-tazobactam,Wound,Public,2022,264,32.0
Eastern Cape,Klebsiella pneumoniae,Piperacillin-tazobactam,Wound,Public,2023,392,33.8
Eastern Cape,Klebsiella pneumoniae,Piperacillin-tazobactam,Wound,Public,2024,324,33.0
Eastern Cape,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Blood,Public,2022,95,32.1
Eastern Cape,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Blood,Public,2023,249,33.0
Eastern Cape,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Blood,Public,2024,284,32.2
Eastern Cape,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Respiratory,Public,2022,114,32.1
Eastern Cape,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Respiratory,Public,2023,139,34.6
Eastern Cape,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Respiratory,Public,2024,369,34.2
Eastern Cape,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Urine,Public,2022,420,32.8
Eastern Cape,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Urine,Public,2023,394,32.2
Eastern Cape,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Wound,Public,2022,213,33.3
Eastern Cape,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Wound,Public,2023,113,34.6
Eastern Cape,Pseudomonas aeruginosa,Amoxicillin-clavulanate,Wound,Public,2024,128,35.7
Eastern Cape,Pseudomonas aeruginosa,Ceftriaxone,Blood,Public,2022,89,26.0
Eastern Cape,Pseudomonas aeruginosa,Ceftriaxone,Blood,Public,2023,337,28.1
Eastern Cape,Pseudomonas aeruginosa,Ceftriaxone,Blood,Public,2024,220,27.5
Eastern Cape,Pseudomonas aeruginosa,Ceftriaxone,Respiratory,Public,2022,351,28.5
Eastern Cape,Pseudomonas aeruginosa,Ceftriaxone,Respiratory,Public,2023,364,29.1
Eastern Cape,Pseudomonas aeruginosa,Ceftriaxone,Respiratory,Public,2024,101,29.5
Eastern Cape,Pseudomonas aeruginosa,Ceftriaxone,Urine,Public,2022,359,26.5
Eastern Cape,Pseudomonas aeruginosa,Ceftriaxone,Urine,Public,2023,331,28.8
Eastern Cape,Pseudomonas aeruginosa,Ceftriaxone,Urine,Public,2024,320,28.8
Eastern Cape,Pseudomonas aeruginosa,Ceftriaxone,Wound,Public,2022,155,27.1
Eastern Cape,Pseudomonas aeruginosa,Ceftriaxone,Wound,Public,2023,94,28.0
Eastern Cape,Pseudomonas aeruginosa,Ceftriaxone,Wound,Public,2024,180,30.9
Eastern Cape,Pseudomonas aeruginosa,Ciprofloxacin,Blood,Public,2022,67,33.3
Eastern Cape,Pseudomonas aeruginosa,Ciprofloxacin,Blood,Public,2023,445,34.2
Eastern Cape,Pseudomonas aeruginosa,Ciprofloxacin,Blood,Public,2024,145,34.9
Eastern Cape,Pseudomonas aeruginosa,Ciprofloxacin,Respiratory,Public,2022,344,35.2
Eastern Cape,Pseudomonas aeruginosa,Ciprofloxacin,Respiratory,Public,2024,211,34.8
Eastern Cape,Pseudomonas aeruginosa,Ciprofloxacin,Urine,Public,2022,306,32.6
Eastern Cape,Pseudomonas aeruginosa,Ciprofloxacin,Urine,Public,2023,265,33.0
Eastern Cape,Pseudomonas aeruginosa,Ciprofloxacin,Urine,Public,2024,144,36.0
Eastern Cape,Pseudomonas aeruginosa,Ciprofloxacin,Wound,Public,2022,259,33.0
Eastern Cape,Pseudomonas aeruginosa,Ciprofloxacin,Wound,Public,2023,292,33.6
Eastern Cape,Pseudomonas aeruginosa,Ciprofloxacin,Wound,Public,2024,416,34.7
Eastern Cape,Pseudomonas aeruginosa,Meropenem,Blood,Public,2022,235,18.0
Eastern Cape,Pseudomonas aeruginosa,Meropenem,Blood,Public,2023,384,18.9
Eastern Cape,Pseudomonas aeruginosa,Meropenem,Blood,Public,2024,318,21.9
Eastern Cape,Pseudomonas aeruginosa,Meropenem,Respiratory,Public,2022,278,21.0
Eastern Cape,Pseudomonas aeruginosa,Meropenem,Respiratory,Public,2023,117,22.0
Eastern Cape,Pseudomonas aeruginosa,Meropenem,Respiratory,Public,2024,413,21.6
Eastern Cape,Pseudomonas aeruginosa,Meropenem,Urine,Public,2022,86,19.8
Eastern Cape,Pseudomonas aeruginosa,Meropenem,Urine,Public,2023,276,19.6
Eastern Cape,Pseudomonas aeruginosa,Meropenem,Urine,Public,2024,82,22.8
Eastern Cape,Pseudomonas aeruginosa,Meropenem,Wound,Public,2022,126,18.8
